,Date,News
0,2024-02-06 14:22," 복지부 ""올해 의대 정원 2천 명 증원"""
1,2024-02-06 14:07," 법원, '가습기 살균제' 국가 배상 책임 첫 인정"
2,2024-02-06 12:24," 인천 현대제철 공장 노동자 6명 쓰러져...""질식 추정"""
3,2024-02-06 11:31,[화제의 뉴스] 1억 출산 장려금 세금만 4천만 원...직원 자녀에 '증여' 통할까
4,2024-02-06 10:11," 의사협회 ""의대정원 일방적 발표하면 총파업 절차 돌입"""
5,2024-02-05 18:45,내일 아침까지 눈·비...큰 추위는 없어
6,2024-02-05 14:54, '부당 합병·회계 부정' 삼성 이재용 회장 1심 '무죄'
7,2024-02-05 14:46," '사법 농단' 임종헌 전 법원행정처 차장, 1심에서 징역형 집행유예"
8,2024-02-05 11:31,"[제보는Y] ""대출받으려다 계좌 정지""...경찰 피싱수사 '지지부진'"
9,2024-02-04 14:47," 이원욱·조응천, '새로운미래' 창당 불참...""더 큰 통합"""
10,2024-02-04 13:57," '사천 논란' 與 김경율, 총선 불출마...""숙고 끝에 결정"""
11,2024-02-02 18:26," 조희대, 새 대법관 후보로 엄상필·신숙희 임명 제청"
12,2024-02-02 14:29," 대통령실 ""단통법 시행령 2월 개정...단말기 가격 낮추도록"""
13,2024-02-02 13:04," 합참 ""北, 서해상으로 순항미사일 여러 발 발사 포착"""
14,2024-02-02 11:35,"""국회의원 세비 깎자""…한동훈의 파격 제안"
15,2024-02-02 08:05, 지난달 소비자물가 2.8% 상승...6달 만에 2%대 둔화
16,2024-02-01 18:35," 尹 ""민주당, 정략적으로 지지층 표심 선택...끝내 민생 외면"""
17,2024-02-01 16:25," 대통령실, 중대재해법 국회 협상 불발에 ""野 대단히 유감"""
18,2024-02-01 15:48," 여야, '중대재해법 유예' 타결 불발...민주, 與 절충안 거부"
19,2024-02-01 14:23, '분당 흉기난동' 최원종 1심에서 무기징역 선고
20,2024-02-01 11:09," 인천 검단 사고 낸 GS건설 등 5개 사, 영업정지 8개월"
21,2024-02-01 10:20,[제보는Y] 'AI 투자로 고수익' 사이트 폐쇄...실제는 폰지 사기?
22,2024-02-01 08:40," 서울 초미세먼지주의보 발령...""마스크 착용"""
23,2024-02-01 04:22, 경북 문경 화재 고립됐던 소방관 1명 추가 발견...다른 1명은 숨져
24,2024-02-01 04:08, 미 연준 올해 첫 금리결정도 동결...4연속 금리 유지
25,2024-02-01 01:15, 경북 문경 화재현장 소방관 1명 발견...심정지 상태 이송
26,2024-01-31 12:04," '고발 사주 의혹' 손준성 차장검사, 1심에서 징역 1년 선고"
27,2024-01-31 11:13,"[단독] 지적장애인 폭행·감금해 억대 갈취...""치매 노모 돈까지 뜯어"""
28,2024-01-31 10:49, '신림동 흉기 난동' 조선 1심에서 무기징역 선고
29,2024-01-31 09:55, 전북 군산 직도 인근에 주한미군 공군기 추락
